lead_name,title,organization,email,email_status,phone,phone_status,usable_candidate,operator_label,candidate_category,rank,query,run_id,fit_score,evidence_score,contact_score,ranking_gate,source_name_url,source_title_url,source_org_url,source_email_url,source_phone_url,source_access_status,validation_notes,checked_at,location,recipe_name,sort_mode,generated_at
Review Lead 16,Technology Coordinator,Review District 16,,missing,,missing,no,REVIEW,person_lead,21,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,0.72,0.61,0.12,noisy_failed,https://district.example/review-16,https://district.example/review-16,https://district.example/review-16,https://district.example/review-16,https://district.example/review-16,supported,Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: person_lead | Bucket: noisy_failed | Gate passed: no | Summary: Needs manual lookup before CRM use. | Why target: Role is source-supported but direct contact is missing. | Field statuses: name=supported; title=supported; organization=supported; email=missing; phone=missing; source=supported | Source note: Accessible source.,2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
Review Lead 17,Technology Coordinator,Review District 17,,missing,,missing,no,REVIEW,person_lead,22,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,0.72,0.61,0.12,noisy_failed,https://district.example/review-17,https://district.example/review-17,https://district.example/review-17,https://district.example/review-17,https://district.example/review-17,supported,Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: person_lead | Bucket: noisy_failed | Gate passed: no | Summary: Needs manual lookup before CRM use. | Why target: Role is source-supported but direct contact is missing. | Field statuses: name=supported; title=supported; organization=supported; email=missing; phone=missing; source=supported | Source note: Accessible source.,2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
Review Lead 18,Technology Coordinator,Review District 18,,missing,,missing,no,REVIEW,person_lead,23,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,0.72,0.61,0.12,noisy_failed,https://district.example/review-18,https://district.example/review-18,https://district.example/review-18,https://district.example/review-18,https://district.example/review-18,supported,Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: person_lead | Bucket: noisy_failed | Gate passed: no | Summary: Needs manual lookup before CRM use. | Why target: Role is source-supported but direct contact is missing. | Field statuses: name=supported; title=supported; organization=supported; email=missing; phone=missing; source=supported | Source note: Accessible source.,2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
Review Lead 19,Technology Coordinator,Review District 19,,missing,,missing,no,REVIEW,person_lead,24,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,0.72,0.61,0.12,noisy_failed,https://district.example/review-19,https://district.example/review-19,https://district.example/review-19,https://district.example/review-19,https://district.example/review-19,supported,Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: person_lead | Bucket: noisy_failed | Gate passed: no | Summary: Needs manual lookup before CRM use. | Why target: Role is source-supported but direct contact is missing. | Field statuses: name=supported; title=supported; organization=supported; email=missing; phone=missing; source=supported | Source note: Accessible source.,2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
Review Lead 20,Technology Coordinator,Review District 20,,missing,,missing,no,REVIEW,person_lead,25,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,0.72,0.61,0.12,noisy_failed,https://district.example/review-20,https://district.example/review-20,https://district.example/review-20,https://district.example/review-20,https://district.example/review-20,supported,Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: person_lead | Bucket: noisy_failed | Gate passed: no | Summary: Needs manual lookup before CRM use. | Why target: Role is source-supported but direct contact is missing. | Field statuses: name=supported; title=supported; organization=supported; email=missing; phone=missing; source=supported | Source note: Accessible source.,2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
,,Blocked District 1,,failed,,missing,no,REVIEW,failed,26,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,,,,noisy_failed,https://district.example/blocked-1,https://district.example/blocked-1,https://district.example/blocked-1,https://district.example/blocked-1,https://district.example/blocked-1,supported,Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: failed | Bucket: noisy_failed | Failure: Source was inaccessible. | Summary: The candidate could not be trusted. | Field statuses: name=supported; title=supported; organization=supported; email=failed; phone=missing; source=supported | Source note: Accessible source.,2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
,,Blocked District 2,,failed,,missing,no,REVIEW,failed,27,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,,,,noisy_failed,https://district.example/blocked-2,https://district.example/blocked-2,https://district.example/blocked-2,https://district.example/blocked-2,https://district.example/blocked-2,supported,Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: failed | Bucket: noisy_failed | Failure: Source was inaccessible. | Summary: The candidate could not be trusted. | Field statuses: name=supported; title=supported; organization=supported; email=failed; phone=missing; source=supported | Source note: Accessible source.,2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
,,Blocked District 3,,failed,,missing,no,REVIEW,failed,28,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,,,,noisy_failed,https://district.example/blocked-3,https://district.example/blocked-3,https://district.example/blocked-3,https://district.example/blocked-3,https://district.example/blocked-3,supported,Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: failed | Bucket: noisy_failed | Failure: Source was inaccessible. | Summary: The candidate could not be trusted. | Field statuses: name=supported; title=supported; organization=supported; email=failed; phone=missing; source=supported | Source note: Accessible source.,2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
,,Org Only District 1,,missing,,missing,no,ORG-ONLY,organization_only,29,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,,,,organization_only,https://district.example/org-1,https://district.example/org-1,https://district.example/org-1,https://district.example/org-1,https://district.example/org-1,supported,"Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: organization_only | Bucket: organization_only | Summary: District found, but no person was safe to export as ready. | Field statuses: name=supported; title=supported; organization=supported; email=missing; phone=missing; source=supported | Source note: Accessible source.",2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
,,Org Only District 2,,missing,,missing,no,ORG-ONLY,organization_only,30,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,,,,organization_only,https://district.example/org-2,https://district.example/org-2,https://district.example/org-2,https://district.example/org-2,https://district.example/org-2,supported,"Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: organization_only | Bucket: organization_only | Summary: District found, but no person was safe to export as ready. | Field statuses: name=supported; title=supported; organization=supported; email=missing; phone=missing; source=supported | Source note: Accessible source.",2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
,,Org Only District 3,,missing,,missing,no,ORG-ONLY,organization_only,31,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,,,,organization_only,https://district.example/org-3,https://district.example/org-3,https://district.example/org-3,https://district.example/org-3,https://district.example/org-3,supported,"Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: organization_only | Bucket: organization_only | Summary: District found, but no person was safe to export as ready. | Field statuses: name=supported; title=supported; organization=supported; email=missing; phone=missing; source=supported | Source note: Accessible source.",2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
,,Org Only District 4,,missing,,missing,no,ORG-ONLY,organization_only,32,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,,,,organization_only,https://district.example/org-4,https://district.example/org-4,https://district.example/org-4,https://district.example/org-4,https://district.example/org-4,supported,"Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: organization_only | Bucket: organization_only | Summary: District found, but no person was safe to export as ready. | Field statuses: name=supported; title=supported; organization=supported; email=missing; phone=missing; source=supported | Source note: Accessible source.",2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
,,Org Only District 5,,missing,,missing,no,ORG-ONLY,organization_only,33,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,,,,organization_only,https://district.example/org-5,https://district.example/org-5,https://district.example/org-5,https://district.example/org-5,https://district.example/org-5,supported,"Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: organization_only | Bucket: organization_only | Summary: District found, but no person was safe to export as ready. | Field statuses: name=supported; title=supported; organization=supported; email=missing; phone=missing; source=supported | Source note: Accessible source.",2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
,,Org Only District 6,,missing,,missing,no,ORG-ONLY,organization_only,34,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,,,,organization_only,https://district.example/org-6,https://district.example/org-6,https://district.example/org-6,https://district.example/org-6,https://district.example/org-6,supported,"Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: organization_only | Bucket: organization_only | Summary: District found, but no person was safe to export as ready. | Field statuses: name=supported; title=supported; organization=supported; email=missing; phone=missing; source=supported | Source note: Accessible source.",2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
,,Org Only District 7,,missing,,missing,no,ORG-ONLY,organization_only,35,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,,,,organization_only,https://district.example/org-7,https://district.example/org-7,https://district.example/org-7,https://district.example/org-7,https://district.example/org-7,supported,"Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: organization_only | Bucket: organization_only | Summary: District found, but no person was safe to export as ready. | Field statuses: name=supported; title=supported; organization=supported; email=missing; phone=missing; source=supported | Source note: Accessible source.",2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
,,Org Only District 8,,missing,,missing,no,ORG-ONLY,organization_only,36,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,,,,organization_only,https://district.example/org-8,https://district.example/org-8,https://district.example/org-8,https://district.example/org-8,https://district.example/org-8,supported,"Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: organization_only | Bucket: organization_only | Summary: District found, but no person was safe to export as ready. | Field statuses: name=supported; title=supported; organization=supported; email=missing; phone=missing; source=supported | Source note: Accessible source.",2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
,,Org Only District 9,,missing,,missing,no,ORG-ONLY,organization_only,37,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,,,,organization_only,https://district.example/org-9,https://district.example/org-9,https://district.example/org-9,https://district.example/org-9,https://district.example/org-9,supported,"Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: organization_only | Bucket: organization_only | Summary: District found, but no person was safe to export as ready. | Field statuses: name=supported; title=supported; organization=supported; email=missing; phone=missing; source=supported | Source note: Accessible source.",2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
,,Org Only District 10,,missing,,missing,no,ORG-ONLY,organization_only,38,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,,,,organization_only,https://district.example/org-10,https://district.example/org-10,https://district.example/org-10,https://district.example/org-10,https://district.example/org-10,supported,"Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: organization_only | Bucket: organization_only | Summary: District found, but no person was safe to export as ready. | Field statuses: name=supported; title=supported; organization=supported; email=missing; phone=missing; source=supported | Source note: Accessible source.",2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
,,Org Only District 11,,missing,,missing,no,ORG-ONLY,organization_only,39,K-12 IT directors in New Mexico,scout-2026-05-12T04:29:51.047Z,,,,organization_only,https://district.example/org-11,https://district.example/org-11,https://district.example/org-11,https://district.example/org-11,https://district.example/org-11,supported,"Generated 2026-05-12T04:29:51.047Z. Sort mode: rank. No query guardrail result returned. Category: organization_only | Bucket: organization_only | Summary: District found, but no person was safe to export as ready. | Field statuses: name=supported; title=supported; organization=supported; email=missing; phone=missing; source=supported | Source note: Accessible source.",2026-05-12T20:00:00Z,,K-12 IT directors in New Mexico,rank,2026-05-12T04:29:51.047Z
